Block_ID,Type,Value,Probability,Entropy
1,Instruction,push,0.09090909090909091,0.31449378351248164
1,Instruction,mov,0.18181818181818182,0.44716938520678134
1,Instruction,lea,0.2727272727272727,0.5112188503407658
1,Instruction,call,0.18181818181818182,0.44716938520678134
1,Instruction,pop,0.09090909090909091,0.31449378351248164
1,Instruction,ret,0.09090909090909091,0.31449378351248164
1,Instruction,nopl,0.09090909090909091,0.31449378351248164
1,Left Operand,%rbp,0.18181818181818182,0.44716938520678134
1,Left Operand,%rsp,0.09090909090909091,0.31449378351248164
1,Left Operand,0x2fbe(%rip),0.09090909090909091,0.31449378351248164
1,Left Operand,1060<_ZNSt8ios_base4InitC1Ev@plt>,0.09090909090909091,0.31449378351248164
1,Left Operand,0x2f61(%rip),0.09090909090909091,0.31449378351248164
1,Left Operand,0x2fab(%rip),0.09090909090909091,0.31449378351248164
1,Left Operand,0x2f9b(%rip),0.09090909090909091,0.31449378351248164
1,Left Operand,1030<__cxa_atexit@plt>,0.09090909090909091,0.31449378351248164
1,Left Operand,,0.09090909090909091,0.31449378351248164
1,Left Operand,0x0(%rax),0.09090909090909091,0.31449378351248164
1,Right Operand,,0.5454545454545454,0.4769831552269861
1,Right Operand,%rbp,0.09090909090909091,0.31449378351248164
1,Right Operand,%rdi,0.18181818181818182,0.44716938520678134
1,Right Operand,%rsi,0.09090909090909091,0.31449378351248164
1,Right Operand,%rdx,0.09090909090909091,0.31449378351248164
2,Instruction,push,0.16666666666666666,0.430827083453526
2,Instruction,mov,0.16666666666666666,0.430827083453526
2,Instruction,call,0.16666666666666666,0.430827083453526
2,Instruction,pop,0.16666666666666666,0.430827083453526
2,Instruction,ret,0.16666666666666666,0.430827083453526
2,Instruction,nopl,0.16666666666666666,0.430827083453526
2,Left Operand,%rbp,0.3333333333333333,0.5283208335737187
2,Left Operand,%rsp,0.16666666666666666,0.430827083453526
2,Left Operand,1080<__cxx_global_var_init>,0.16666666666666666,0.430827083453526
2,Left Operand,,0.16666666666666666,0.430827083453526
2,Left Operand,"0x0(%rax,%rax,1)",0.16666666666666666,0.430827083453526
2,Right Operand,,0.8333333333333334,0.21919533819482817
2,Right Operand,%rbp,0.16666666666666666,0.430827083453526
3,Instruction,endbr64,0.06666666666666667,0.26045937304056793
3,Instruction,xor,0.2,0.46438561897747244
3,Instruction,mov,0.13333333333333333,0.3875854127478025
3,Instruction,pop,0.06666666666666667,0.26045937304056793
3,Instruction,and,0.06666666666666667,0.26045937304056793
3,Instruction,push,0.13333333333333333,0.3875854127478025
3,Instruction,lea,0.06666666666666667,0.26045937304056793
3,Instruction,call,0.06666666666666667,0.26045937304056793
3,Instruction,hlt,0.06666666666666667,0.26045937304056793
3,Instruction,cs,0.06666666666666667,0.26045937304056793
3,Instruction,nopl,0.06666666666666667,0.26045937304056793
3,Left Operand,,0.13333333333333333,0.3875854127478025
3,Left Operand,%ebp,0.06666666666666667,0.26045937304056793
3,Left Operand,%rdx,0.06666666666666667,0.26045937304056793
3,Left Operand,%rsi,0.06666666666666667,0.26045937304056793
3,Left Operand,%rsp,0.13333333333333333,0.3875854127478025
3,Left Operand,$0xfffffffffffffff0,0.06666666666666667,0.26045937304056793
3,Left Operand,%rax,0.06666666666666667,0.26045937304056793
3,Left Operand,%r8d,0.06666666666666667,0.26045937304056793
3,Left Operand,%ecx,0.06666666666666667,0.26045937304056793
3,Left Operand,0xd1(%rip),0.06666666666666667,0.26045937304056793
3,Left Operand,*0x2eeb(%rip),0.06666666666666667,0.26045937304056793
3,Left Operand,nopw,0.06666666666666667,0.26045937304056793
3,Left Operand,"0x0(%rax,%rax,1)",0.06666666666666667,0.26045937304056793
3,Right Operand,,0.4666666666666667,0.5131166476570933
3,Right Operand,%ebp,0.06666666666666667,0.26045937304056793
3,Right Operand,%r9,0.06666666666666667,0.26045937304056793
3,Right Operand,%rdx,0.06666666666666667,0.26045937304056793
3,Right Operand,%rsp,0.06666666666666667,0.26045937304056793
3,Right Operand,%r8d,0.06666666666666667,0.26045937304056793
3,Right Operand,%ecx,0.06666666666666667,0.26045937304056793
3,Right Operand,%rdi,0.06666666666666667,0.26045937304056793
3,Right Operand,"0x0(%rax,%rax,1)",0.06666666666666667,0.26045937304056793
4,Instruction,lea,0.18181818181818182,0.44716938520678134
4,Instruction,cmp,0.09090909090909091,0.31449378351248164
4,Instruction,je,0.18181818181818182,0.44716938520678134
4,Instruction,mov,0.09090909090909091,0.31449378351248164
4,Instruction,test,0.09090909090909091,0.31449378351248164
4,Instruction,jmp,0.09090909090909091,0.31449378351248164
4,Instruction,nopl,0.18181818181818182,0.44716938520678134
4,Instruction,ret,0.09090909090909091,0.31449378351248164
4,Left Operand,0x2f51(%rip),0.09090909090909091,0.31449378351248164
4,Left Operand,0x2f4a(%rip),0.09090909090909091,0.31449378351248164
4,Left Operand,%rdi,0.09090909090909091,0.31449378351248164
4,Left Operand,1118<deregister_tm_clones+0x28>,0.18181818181818182,0.44716938520678134
4,Left Operand,0x2ed6(%rip),0.09090909090909091,0.31449378351248164
4,Left Operand,%rax,0.09090909090909091,0.31449378351248164
